id,videoId,creator,title,clipPath,startSeconds,endSeconds,momentBucket,roleTag,clipPriority,visualEvidence,whyThisMomentMatters,mumukiReuseNote
7318924509522791710-003,7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-03.mp4,47.5,51.0,application_moment,product-like application,3,Close-up of the creator rubbing the peel along her jawline and neck area.,Shows the versatility of the application across different facial zones.,Show the ampoule being massaged into the jawline to demonstrate lifting or firming benefits.
7330117596110392619-007,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-02.mp4,13.0,16.0,ingredient_focus,visual-proof,2,Close-up of the creator rubbing the banana peel across her forehead and under-eye area.,"It highlights the 'banana for skin' trend and the specific desire for 'glowy' skin, which aligns with the product's benefits.",Can be used as a montage clip to show the popularity of banana-based skincare before introducing the product as the superior alternative.
7330117596110392619-008,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-03.mp4,16.5,19.5,ingredient_focus,visual-proof,3,"The creator is aggressively rubbing the banana peel over her entire face, showing the texture of the peel against the skin.","Demonstrates the high level of interest in DIY banana skincare, proving the ingredient's appeal to the target audience.","Use to contrast the messy DIY approach with the refined, concentrated formula of the MUMUKI ampoule."
7355150760293747998-018,7355150760293747998,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-03.mp4,54.5,57.0,application_demonstration,sensory-experience,3,"Close-up of the creator rubbing the peel on her cheek, showing the texture and the way it glides on the skin.","Focuses on the sensory experience of the application, which is crucial for skincare marketing.",Capture the texture of the MUMUKI ampoule as it glides on the skin to mimic this satisfying application feel.
7459763407668006152-038,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-03.mp4,6.0,11.0,application_moment,visual-demonstration,3,"The creator continues rubbing the banana peel across his nose, chin, and jawline.","Shows the versatility of the ingredient across different facial zones, reinforcing the 'tightening' claim.",Demonstrate the ampoule being massaged into the same facial zones to show ease of use.
7561970033195257101-053,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-03.mp4,18.5,21.0,application_moment,visual-demonstration,3,"The creator rubs the banana peel across her forehead, demonstrating a full-face application technique.",Demonstrates the ease of use and the 'skincare routine' aspect of the ingredient.,"Use this as a reference for the 'application flow' of the MUMUKI Ampoule, showing a smooth, satisfying application motion."
7618385031932808462-075,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-02.mp4,12.0,14.5,texture_demonstration,texture-appeal,2,"The creator holds the jar up to the camera, showing the honey dripping slowly off the spoon.","Highlights the premium, raw, and natural quality of the ingredient.",Show the ampoule's texture dripping from a dropper to emphasize its concentrated formula.
7618385031932808462-077,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-04.mp4,29.5,32.0,texture_demonstration,texture-appeal,4,"The creator holds the spoon with the honey dripping down, focusing on the slow, continuous flow.",The slow-motion effect of the honey flow is visually hypnotic and emphasizes purity.,Create a slow-motion shot of the ampoule serum dripping to convey a sense of luxury and potency.
7446093862952815918-028,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-03.mp4,8.0,11.0,application_process,application-demo,3,"The creator is massaging the honey into her skin with both hands, showing the full coverage of the DIY mask.","Demonstrates the ritualistic aspect of skincare application, which viewers find relaxing and satisfying to watch.",Replicate this massage motion with the MUMUKI ampoule to show how it absorbs or glides on the skin.
7447707169664879915-031,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-01.mp4,1.5,4.5,hook_moment,stop-power,1,"The creator holds up a banana peel directly to the camera, showing the inside texture.","The direct, close-up reveal of the ingredient creates immediate curiosity and visual intrigue.",Use a similar close-up shot of the MUMUKI ampoule or a honey-infused texture to hook the viewer immediately.
